ランク,水源_緯度,水源_経度,水源_標高(m),取水口_緯度,取水口_経度,取水口_標高(m),発電所_緯度,発電所_経度,発電所_標高(m),有効落差(m),推定発電量(kW)
#1,36.399237,137.790803,1377.0,36.406878,137.790803,1108.0,36.399237,137.795034,0.0,1377.0,8253.9
#2,36.399237,137.790803,1377.0,36.399237,137.803497,1028.0,36.399237,137.795034,0.0,1377.0,7693.8
#3,36.399237,137.790803,1377.0,36.401784,137.803497,1058.0,36.399237,137.795034,0.0,1377.0,7575.9
#4,36.399237,137.790803,1377.0,36.406878,137.799265,1023.0,36.399237,137.795034,0.0,1377.0,7565.8
#5,36.399237,137.790803,1377.0,36.409425,137.799265,1047.0,36.399237,137.795034,0.0,1377.0,6890.8
#6,36.399237,137.790803,1377.0,36.394143,137.807728,1179.0,36.399237,137.795034,0.0,1377.0,6326.7
#7,36.399237,137.790803,1377.0,36.409425,137.803497,1080.0,36.399237,137.795034,0.0,1377.0,6299.1
#8,36.399237,137.790803,1377.0,36.411972,137.803497,1121.0,36.399237,137.795034,0.0,1377.0,5772.5
#9,36.399237,137.790803,1377.0,36.414519,137.803497,1164.0,36.399237,137.795034,0.0,1377.0,5256.1
#10,36.391596,137.773878,2014.0,36.406878,137.790803,1108.0,36.399237,137.795034,0.0,2014.0,4778.1
#11,36.394143,137.769646,1997.0,36.406878,137.790803,1108.0,36.399237,137.795034,0.0,1997.0,4691.1
#12,36.399237,137.790803,1377.0,36.391596,137.816191,1051.0,36.399237,137.795034,0.0,1377.0,4576.8
#13,36.396690,137.765415,2013.0,36.406878,137.790803,1108.0,36.399237,137.795034,0.0,2013.0,4413.4
#14,36.389049,137.773878,2047.0,36.406878,137.790803,1108.0,36.399237,137.795034,0.0,2047.0,4397.1
#15,36.401784,137.761184,1941.0,36.406878,137.790803,1108.0,36.399237,137.795034,0.0,1941.0,4334.1
#16,36.419613,137.756952,1999.0,36.427254,137.773878,1258.0,36.399237,137.795034,0.0,1999.0,4312.9
#17,36.391596,137.773878,2014.0,36.399237,137.803497,1028.0,36.399237,137.795034,0.0,2014.0,4166.7
#18,36.386502,137.773878,2028.0,36.406878,137.790803,1108.0,36.399237,137.795034,0.0,2028.0,4147.3
#19,36.391596,137.773878,2014.0,36.406878,137.799265,1023.0,36.399237,137.795034,0.0,2014.0,4035.2
#20,36.391596,137.773878,2014.0,36.401784,137.803497,1058.0,36.399237,137.795034,0.0,2014.0,4024.9
#21,36.389049,137.773878,2047.0,36.399237,137.803497,1028.0,36.399237,137.795034,0.0,2047.0,3974.0
#22,36.399237,137.761184,2083.0,36.406878,137.790803,1108.0,36.399237,137.795034,0.0,2083.0,3940.7
#23,36.391596,137.769646,2200.0,36.406878,137.790803,1108.0,36.399237,137.795034,0.0,2200.0,3906.5
#24,36.394143,137.765415,2153.0,36.406878,137.790803,1108.0,36.399237,137.795034,0.0,2153.0,3886.9
#25,36.399237,137.790803,1377.0,36.422160,137.803497,1227.0,36.399237,137.795034,0.0,1377.0,3882.4
#26,36.386502,137.773878,2028.0,36.399237,137.803497,1028.0,36.399237,137.795034,0.0,2028.0,3871.4
#27,36.394143,137.769646,1997.0,36.406878,137.799265,1023.0,36.399237,137.795034,0.0,1997.0,3867.8
#28,36.394143,137.769646,1997.0,36.399237,137.803497,1028.0,36.399237,137.795034,0.0,1997.0,3841.4
#29,36.389049,137.773878,2047.0,36.401784,137.803497,1058.0,36.399237,137.795034,0.0,2047.0,3811.9
#30,36.409425,137.756952,2013.0,36.406878,137.790803,1108.0,36.399237,137.795034,0.0,2013.0,3790.9
