ランク,水源_緯度,水源_経度,水源_標高(m),取水口_緯度,取水口_経度,取水口_標高(m),発電所_緯度,発電所_経度,発電所_標高(m),有効落差(m),推定発電量(kW)
#1,36.297600,137.670367,2131.0,36.297600,137.701805,1721.0,36.297600,137.890431,559.0,1572.0,562.3
#2,36.297600,137.670367,2131.0,36.297600,137.701805,1721.0,36.338313,137.890431,537.0,1594.0,537.6
#3,36.297600,137.670367,2131.0,36.297600,137.701805,1721.0,36.379025,137.890431,551.0,1580.0,451.2
#4,35.564777,138.141934,2036.0,35.605490,138.110496,1864.0,35.605490,137.953307,487.0,1549.0,378.4
#5,35.605490,138.173372,1904.0,35.605490,138.110496,1864.0,35.605490,137.953307,487.0,1417.0,353.6
#6,36.338313,137.701805,2357.0,36.297600,137.701805,1721.0,36.297600,137.890431,559.0,1798.0,286.3
#7,36.338313,137.701805,2357.0,36.297600,137.701805,1721.0,36.338313,137.890431,537.0,1820.0,273.2
#8,35.605490,138.236247,2853.0,35.605490,138.361998,1532.0,35.605490,138.456312,307.0,2546.0,271.8
#9,36.623299,137.638929,1960.0,36.623299,137.670367,1665.0,36.826861,137.481740,174.0,1786.0,249.4
#10,35.605490,138.236247,2853.0,35.605490,138.361998,1532.0,35.564777,138.456312,270.0,2583.0,246.4
#11,35.646202,138.236247,2765.0,35.605490,138.361998,1532.0,35.605490,138.456312,307.0,2458.0,240.7
#12,36.338313,137.701805,2357.0,36.297600,137.701805,1721.0,36.379025,137.890431,551.0,1806.0,229.6
#13,36.338313,137.670367,2370.0,36.297600,137.701805,1721.0,36.297600,137.890431,559.0,1811.0,221.6
#14,35.646202,138.267685,1784.0,35.605490,138.361998,1532.0,35.605490,138.456312,307.0,1477.0,219.9
#15,35.646202,138.236247,2765.0,35.605490,138.361998,1532.0,35.564777,138.456312,270.0,2495.0,218.4
#16,35.564777,138.267685,1829.0,35.605490,138.361998,1532.0,35.605490,138.456312,307.0,1522.0,218.0
#17,35.524065,138.110496,1994.0,35.564777,138.016183,1500.0,35.605490,137.953307,487.0,1507.0,217.1
#18,36.338313,137.670367,2370.0,36.297600,137.701805,1721.0,36.338313,137.890431,537.0,1833.0,211.5
#19,36.826861,137.701805,1756.0,36.786149,137.733242,1735.0,36.826861,137.481740,174.0,1582.0,211.4
#20,35.686915,138.299123,2148.0,35.605490,138.361998,1532.0,35.605490,138.456312,307.0,1841.0,211.1
#21,35.564777,138.141934,2036.0,35.605490,138.110496,1864.0,35.564777,137.890431,434.0,1602.0,210.4
#22,35.605490,138.236247,2853.0,35.605490,138.361998,1532.0,35.605490,138.487750,258.0,2595.0,208.3
#23,35.564777,138.267685,1829.0,35.524065,138.361998,1539.0,35.524065,138.456312,382.0,1447.0,206.8
#24,35.564777,138.267685,1829.0,35.524065,138.361998,1539.0,35.483353,138.456312,236.0,1593.0,203.5
#25,36.338313,137.733242,2445.0,36.297600,137.701805,1721.0,36.297600,137.890431,559.0,1886.0,203.3
#26,35.646202,138.267685,1784.0,35.605490,138.361998,1532.0,35.564777,138.456312,270.0,1514.0,201.5
#27,35.564777,138.267685,1829.0,35.605490,138.361998,1532.0,35.564777,138.456312,270.0,1559.0,199.6
#28,35.564777,138.267685,1829.0,35.524065,138.361998,1539.0,35.564777,138.456312,270.0,1559.0,199.3
#29,35.605490,138.173372,1904.0,35.605490,138.110496,1864.0,35.564777,137.890431,434.0,1470.0,197.2
#30,36.338313,137.733242,2445.0,36.297600,137.701805,1721.0,36.338313,137.890431,537.0,1908.0,193.9
#31,35.686915,138.299123,2148.0,35.605490,138.361998,1532.0,35.564777,138.456312,270.0,1878.0,192.5
#32,35.605490,138.236247,2853.0,35.524065,138.361998,1539.0,35.524065,138.456312,382.0,2471.0,192.3
#33,35.605490,138.236247,2853.0,35.605490,138.361998,1532.0,35.564777,138.487750,244.0,2609.0,192.1
#34,35.564777,138.236247,2232.0,35.605490,138.361998,1532.0,35.605490,138.456312,307.0,1925.0,188.4
#35,35.564777,138.141934,2036.0,35.564777,138.016183,1500.0,35.605490,137.953307,487.0,1549.0,187.7
#36,35.605490,138.236247,2853.0,35.605490,138.361998,1532.0,35.646202,138.487750,306.0,2547.0,187.6
#37,35.646202,138.236247,2765.0,35.605490,138.361998,1532.0,35.605490,138.487750,258.0,2507.0,184.7
#38,35.686915,138.236247,2670.0,35.605490,138.361998,1532.0,35.605490,138.456312,307.0,2363.0,184.2
