Rank,Power_kW,Effective_Head_m,Flow_m3s,WaterSource_Lat,WaterSource_Lon,WaterSource_Elevation_m,Intake_Lat,Intake_Lon,Intake_Elevation_m,Powerhouse_Lat,Powerhouse_Lon,Powerhouse_Elevation_m,WS_Intake_Distance_km,Intake_PH_Distance_km,Total_Distance_km
1,1345.995944538706,785.0,0.21870465756835855,36.08748673684211,137.73366968421053,1759.0,36.10695042105263,137.73366968421053,1625.0,36.184805157894736,137.79483357894736,840.0,2.159706046691851,10.243582068668777,12.403288115360628
2,1169.2895056281802,963.0,0.15487442325589942,36.08748673684211,137.73366968421053,1759.0,36.10695042105263,137.73366968421053,1625.0,36.204268842105265,137.8559974736842,662.0,2.159706046691851,15.42019618949823,17.57990223619008
3,1153.2266943390348,731.0,0.20122468074538558,36.204268842105265,137.6725057894737,2237.0,36.16534147368421,137.7030877368421,1571.0,36.184805157894736,137.79483357894736,840.0,5.121084029512264,8.531705970473832,13.652789999986096
4,1146.8676644377417,884.0,0.16547979736669785,36.08748673684211,137.73366968421053,1759.0,36.10695042105263,137.73366968421053,1625.0,36.14587778947369,137.88657942105263,741.0,2.159706046691851,14.426678673529869,16.58638472022172
5,1023.7874055851888,968.0,0.13490199200766212,36.08748673684211,137.73366968421053,1759.0,36.10695042105263,137.73366968421053,1625.0,36.204268842105265,137.88657942105263,657.0,2.159706046691851,17.491187484813274,19.650893531505126
6,969.0773178330674,989.0,0.12498159832559523,36.08748673684211,137.73366968421053,1759.0,36.10695042105263,137.73366968421053,1625.0,36.184805157894736,137.91716136842106,636.0,2.159706046691851,18.63691773358941,20.796623780281262
7,968.6473496772212,909.0,0.13592074572826454,36.204268842105265,137.6725057894737,2237.0,36.16534147368421,137.7030877368421,1571.0,36.204268842105265,137.8559974736842,662.0,5.121084029512264,14.416957988739782,19.538042018252046
8,955.1276364019467,992.0,0.12280998451925951,36.08748673684211,137.73366968421053,1759.0,36.10695042105263,137.73366968421053,1625.0,36.22373252631579,137.88657942105263,633.0,2.159706046691851,18.899840636122708,21.05954668281456
9,951.2111065457538,758.0,0.16006325496502502,36.204268842105265,137.6725057894737,2237.0,36.243196210526314,137.6725057894737,1598.0,36.184805157894736,137.79483357894736,840.0,4.3195035575051275,12.766081709264192,17.08558526676932
10,951.2093202274449,758.0,0.16006295437568063,36.28212357894737,137.6725057894737,2251.0,36.243196210526314,137.6725057894737,1598.0,36.184805157894736,137.79483357894736,840.0,4.319531726646138,12.766081709264192,17.085613435910332
