Rank,Power_kW,Effective_Head_m,Flow_m3s,WaterSource_Lat,WaterSource_Lon,WaterSource_Elevation_m,Intake_Lat,Intake_Lon,Intake_Elevation_m,Powerhouse_Lat,Powerhouse_Lon,Powerhouse_Elevation_m,WS_Intake_Distance_km,Intake_PH_Distance_km,Total_Distance_km
1,1170.013475899686,678.0,0.22011270315974468,36.737041663157896,138.10374215789474,1297.0,36.71730311578947,138.10374215789474,1056.0,36.65808747368421,138.18980489473682,378.0,2.190436662795633,10.116589279519099,12.307025942314732
2,1127.272897330135,778.0,0.18481337831995548,36.737041663157896,138.10374215789474,1297.0,36.737041663157896,138.08222647368422,1156.0,36.65808747368421,138.18980489473682,378.0,1.9217218121228143,13.007201412806767,14.928923224929582
3,1123.9805304822632,861.0,0.16650971380014093,36.756780210526315,138.10374215789474,1395.0,36.756780210526315,138.08222647368422,1239.0,36.65808747368421,138.18980489473682,378.0,1.9212296930753419,14.572087050346916,16.49331674342226
4,1114.9071326563326,678.0,0.20974563780332542,36.737041663157896,138.12525784210524,1765.0,36.71730311578947,138.10374215789474,1056.0,36.65808747368421,138.18980489473682,378.0,2.914098976701954,10.116589279519099,13.030688256221053
5,1114.9071326562798,678.0,0.2097456378033155,36.737041663157896,138.08222647368422,1156.0,36.71730311578947,138.10374215789474,1056.0,36.65808747368421,138.18980489473682,378.0,2.914098976702662,10.116589279519099,13.030688256221762
6,1107.2578371538207,778.0,0.18153196270424893,36.756780210526315,138.08222647368422,1239.0,36.737041663157896,138.08222647368422,1156.0,36.65808747368421,138.18980489473682,378.0,2.1904439447116686,13.007201412806767,15.197645357518436
7,1099.6610271911084,773.0,0.18145263405086007,36.737041663157896,138.10374215789474,1297.0,36.737041663157896,138.08222647368422,1156.0,36.618610378947366,138.10374215789474,383.0,1.9217218121228143,13.282479910764371,15.204201722887186
8,1098.4656228064507,673.0,0.20818783220245374,36.737041663157896,138.10374215789474,1297.0,36.71730311578947,138.10374215789474,1056.0,36.618610378947366,138.10374215789474,383.0,2.190436662795633,10.95207413891646,13.142510801712094
9,1089.8957703303931,700.0,0.19859616806311825,36.737041663157896,138.10374215789474,1297.0,36.71730311578947,138.10374215789474,1056.0,36.638348926315786,138.18980489473682,356.0,2.190436662795633,11.659582963377984,13.850019626173617
10,1082.7113074398487,693.0,0.1992798442588878,36.737041663157896,138.10374215789474,1297.0,36.71730311578947,138.10374215789474,1056.0,36.618610378947366,138.14677352631577,363.0,2.190436662795633,11.608033472018391,13.798470134814025
